City,AWS,DigitalOcean,Git,Microsoft SQL Server,Oracle,MySQL,PostgreSQL,Linux
Buenos Aires,73,0,72,2,21,33,25,38
Brisbane,148,0,63,0,14,24,21,64
Perth,97,0,56,0,6,52,0,30
Sydney,201,0,49,1,22,26,11,47
Vienna,38,0,75,3,33,19,14,46
Graz,4,0,63,23,104,8,1,58
Antwerp,29,0,35,3,17,5,5,40
Brussels,25,0,72,2,33,12,16,60
Rio de Janeiro,86,0,62,0,32,29,31,115
Toronto,124,0,111,5,42,48,17,80
Vancouver,120,1,94,4,30,45,23,84
Calgary,62,0,89,7,54,101,14,76
Santiago,285,0,41,0,30,6,9,13
Antofagasta,30,0,0,0,0,0,0,0
Bogota,164,0,58,3,6,74,73,57
San Jose,101,0,135,0,32,103,78,81
Prague,67,0,112,2,74,21,22,79
Brno,55,0,19,0,2,5,49,161
Copenhagen,142,0,78,6,4,40,13,22
Aarhus,89,0,30,0,0,29,0,87
Guayaquil,0,0,0,0,0,0,0,0
Quito,60,0,0,30,0,30,30,30
Cairo,6,0,24,25,25,70,1,50
Aswan,0,0,0,0,0,0,0,0
Helsinki,71,0,43,1,1,8,9,76
Tampere,89,0,29,0,0,0,2,88
Oulu,30,0,60,0,30,0,30,120
Paris,144,0,66,0,16,11,24,66
Marseille,0,0,30,0,30,0,30,90
Lyon,198,0,5,0,30,1,3,114
Munich,124,0,75,2,32,35,24,46
Berlin,115,2,82,0,10,25,33,54
Hamburg,91,0,80,4,14,35,26,63
Athens ,13,0,91,7,51,81,33,100
Thessaloniki,1,0,92,0,10,32,5,38
Hong Kong,57,0,45,4,17,52,6,59
Kowloon,57,0,45,4,17,52,6,59
Budapest,23,0,75,0,35,24,7,87
Debrecen,59,0,30,0,1,0,0,1
Jaipur,27,0,46,5,6,30,3,12
Bengaluru,45,0,62,0,78,28,3,72
Mumbai,55,0,36,3,26,30,10,27
Jakarta,42,0,107,2,24,109,36,72
Bandung,29,0,118,0,87,175,0,116
Dublin,129,0,54,2,33,28,8,68
Cork,11,0,33,0,0,3,1,32
Rome,21,0,28,21,63,55,6,112
Milan,39,0,53,6,33,21,18,44
Fukuoka,0,0,0,0,0,0,0,0
Tokyo,21,0,23,0,129,2,1,56
Osaka,30,0,0,0,0,0,0,0
Guadalajara,89,1,91,3,64,14,7,103
Monterrey,80,0,83,0,32,4,5,78
Amsterdam,55,0,51,6,24,22,15,44
Rotterdam,60,0,56,6,28,26,18,38
Eindhoven,39,0,60,5,14,25,10,63
Wellington,326,0,60,0,38,0,50,84
Auckland,106,0,59,1,27,25,20,28
Christchurch,30,0,87,0,29,58,0,88
Lagos,27,0,62,2,25,36,13,31
Oslo,69,0,88,0,2,28,31,111
Bergen,0,0,60,0,0,0,0,60
Karachi,12,0,41,1,21,56,3,7
Lahore,14,0,53,4,10,61,36,21
Lima,116,0,202,0,2,88,29,57
Makati,41,0,54,2,74,50,9,39
Quezon,41,0,54,2,73,50,9,39
Warsaw,69,0,104,3,72,30,40,82
Krakow,109,0,118,6,44,26,37,69
Lisbon,53,0,54,6,32,23,18,59
Porto,41,0,53,4,23,34,21,63
Bucharest,69,0,90,7,165,51,21,85
Cluj,55,0,66,4,18,42,9,57
Moscow,5,0,60,0,19,6,27,64
Singapore,0,0,0,0,0,0,0,0
Woodlands,35,0,63,6,6,28,3,39
Cape Town,76,0,76,11,46,57,33,61
Johannesburg,43,0,60,12,34,35,18,61
Madrid,153,0,100,1,31,54,29,70
Barcelona,80,0,64,1,17,37,16,53
Valencia,9,0,203,0,2,56,2,33
Stockholm,114,1,41,1,3,18,12,53
Gothenburg,19,0,83,0,0,2,1,177
Zurich,79,0,41,2,46,26,16,49
Geneva,46,0,58,0,41,30,1,115
Lausanne,71,0,33,2,3,1,2,57
Hsinchu,0,0,60,0,0,0,0,210
Taipei,153,0,84,0,3,53,0,104
Bangkok,37,0,45,7,54,46,11,14
Pattaya,0,0,0,0,0,0,0,60
Instanbul,0,0,0,0,0,0,0,0
Ankara,58,0,118,0,0,0,0,29
Kyiv,91,0,110,3,29,43,33,56
Odesa,31,0,150,0,30,90,1,58
Dubai,21,0,69,1,56,20,3,8
Abu Dhabi,27,0,0,0,82,0,0,29
London,161,0,56,5,16,26,21,63
Cambridge,93,0,49,0,4,12,11,115
Manchester,111,0,70,7,6,46,7,48
Liverpool,55,0,94,31,5,50,7,27
Birmingham,75,0,61,9,3,36,4,51
Cardiff,39,0,31,0,5,43,6,30
Wrexham,39,0,100,33,23,31,4,28
Belfast,207,0,77,5,16,14,24,86
San Francisco,162,0,69,1,36,39,16,87
New York,105,0,60,6,48,42,12,59
Los Angeles,137,1,76,6,22,57,21,76
Austin,159,0,77,3,37,34,21,106
Washington D.C,231,0,90,7,84,32,16,114
Ho Chi Minh City,87,0,109,3,43,81,35,60
Hanoi,52,1,88,4,42,76,20,51
